booking_id,entity_id,room_id,start_time,end_time,attended (YES/NO)
BKG300089,E103484,ROOM_A2,2025-09-18T08:33:00Z,2025-09-18T09:45:00Z,YES
BKG300090,E103962,AUDITORIUM,2025-09-09T13:49:00Z,2025-09-09T14:35:00Z,YES
BKG300091,E101412,ROOM_A2,2025-09-15T17:46:00Z,2025-09-15T19:16:00Z,NO
BKG300092,E103323,LAB_305,2025-09-19T00:56:00Z,2025-09-19T03:37:00Z,YES
BKG300093,E100548,SEM_01,2025-09-25T07:12:00Z,2025-09-25T09:46:00Z,YES
BKG300094,E106920,LAB_101,2025-09-05T19:59:00Z,2025-09-05T22:23:00Z,YES
BKG300095,E104955,LAB_305,2025-08-30T07:36:00Z,2025-08-30T09:07:00Z,YES
BKG300096,E103325,LAB_305,2025-09-02T14:17:00Z,2025-09-02T16:27:00Z,YES
BKG300097,E105444,LAB_102,2025-08-30T01:27:00Z,2025-08-30T02:29:00Z,YES
BKG300098,E101684,LAB_101,2025-09-10T03:33:00Z,2025-09-10T05:57:00Z,YES
BKG300099,E102357,LAB_101,2025-09-14T02:40:00Z,2025-09-14T05:13:00Z,NO
BKG300100,E102860,LAB_102,2025-09-07T23:49:00Z,2025-09-08T00:45:00Z,YES
BKG300101,E106148,SEM_01,2025-09-16T11:12:00Z,2025-09-16T12:44:00Z,NO
BKG300102,E104435,AUDITORIUM,2025-09-22T14:10:00Z,2025-09-22T15:02:00Z,YES
BKG300103,E104616,LAB_305,2025-09-06T20:38:00Z,2025-09-06T22:51:00Z,NO
BKG300104,E103680,SEM_01,2025-09-18T18:41:00Z,2025-09-18T20:45:00Z,YES
BKG300105,E102951,LAB_102,2025-08-29T23:05:00Z,2025-08-30T01:42:00Z,YES
BKG300106,E101287,LAB_102,2025-09-07T23:05:00Z,2025-09-08T00:44:00Z,YES
BKG300107,E106975,LAB_102,2025-08-28T04:59:00Z,2025-08-28T07:37:00Z,YES
BKG300108,E106741,LAB_102,2025-09-22T07:44:00Z,2025-09-22T10:19:00Z,YES
BKG300109,E101202,SEM_01,2025-08-27T23:54:00Z,2025-08-28T01:02:00Z,YES
BKG300110,E102923,LAB_102,2025-08-28T02:45:00Z,2025-08-28T03:19:00Z,YES
BKG300111,E100046,AUDITORIUM,2025-09-03T13:48:00Z,2025-09-03T15:02:00Z,YES
BKG300112,E106525,LAB_102,2025-09-16T19:55:00Z,2025-09-16T22:14:00Z,YES
BKG300113,E106691,LAB_101,2025-09-04T11:11:00Z,2025-09-04T13:17:00Z,YES
BKG300114,E106508,SEM_01,2025-09-10T16:13:00Z,2025-09-10T18:55:00Z,NO
BKG300115,E102437,SEM_01,2025-09-05T20:56:00Z,2025-09-05T23:56:00Z,YES
BKG300116,E106242,LAB_101,2025-08-29T09:50:00Z,2025-08-29T10:42:00Z,NO
BKG300117,E101001,LAB_305,2025-09-19T06:35:00Z,2025-09-19T08:02:00Z,YES
BKG300118,E101553,LAB_101,2025-09-05T15:36:00Z,2025-09-05T18:27:00Z,NO
BKG300119,E101974,AUDITORIUM,2025-09-07T07:43:00Z,2025-09-07T09:43:00Z,YES
BKG300120,E104249,LAB_102,2025-09-25T19:01:00Z,2025-09-25T19:41:00Z,NO
BKG300121,E106623,LAB_102,2025-08-28T09:56:00Z,2025-08-28T11:07:00Z,YES
BKG300122,E104947,ROOM_A1,2025-09-02T05:15:00Z,2025-09-02T07:47:00Z,YES
BKG300123,E105101,SEM_01,2025-09-05T03:30:00Z,2025-09-05T04:51:00Z,NO
BKG300124,E101427,LAB_101,2025-09-14T21:54:00Z,2025-09-14T22:47:00Z,YES
BKG300125,E101858,SEM_01,2025-09-17T16:16:00Z,2025-09-17T17:18:00Z,YES
BKG300126,E103981,AUDITORIUM,2025-09-09T11:47:00Z,2025-09-09T12:45:00Z,YES
BKG300127,E102310,ROOM_A2,2025-08-28T09:52:00Z,2025-08-28T11:55:00Z,YES
BKG300128,E104755,ROOM_A2,2025-08-27T04:49:00Z,2025-08-27T05:37:00Z,YES
BKG300129,E105083,ROOM_A1,2025-09-13T18:59:00Z,2025-09-13T20:00:00Z,YES
BKG300130,E103924,ROOM_A1,2025-09-19T22:04:00Z,2025-09-19T22:49:00Z,YES
BKG300131,E105557,LAB_101,2025-08-27T20:50:00Z,2025-08-27T22:41:00Z,YES
BKG300132,E106209,SEM_01,2025-08-27T16:20:00Z,2025-08-27T18:08:00Z,NO
BKG300133,E104292,LAB_305,2025-09-15T15:19:00Z,2025-09-15T16:45:00Z,YES
BKG300134,E103436,ROOM_A2,2025-09-17T06:43:00Z,2025-09-17T09:25:00Z,YES
BKG300135,E101704,LAB_102,2025-08-29T14:52:00Z,2025-08-29T15:50:00Z,YES
BKG300136,E100207,LAB_305,2025-09-16T15:52:00Z,2025-09-16T18:25:00Z,YES
BKG300137,E103590,ROOM_A2,2025-09-03T08:35:00Z,2025-09-03T09:31:00Z,NO
BKG300138,E100318,LAB_102,2025-09-12T14:53:00Z,2025-09-12T16:11:00Z,NO
BKG300139,E101003,LAB_101,2025-08-30T21:24:00Z,2025-08-30T22:20:00Z,YES
BKG300140,E106858,ROOM_A1,2025-09-14T17:45:00Z,2025-09-14T20:25:00Z,YES
BKG300141,E106421,LAB_102,2025-09-12T00:04:00Z,2025-09-12T00:56:00Z,YES
BKG300142,E103191,LAB_305,2025-09-17T03:58:00Z,2025-09-17T06:00:00Z,YES
BKG300143,E102991,ROOM_A2,2025-09-16T15:16:00Z,2025-09-16T16:37:00Z,NO
BKG300144,E101742,SEM_01,2025-09-10T15:05:00Z,2025-09-10T18:03:00Z,YES
BKG300145,E105386,LAB_102,2025-08-29T03:11:00Z,2025-08-29T04:27:00Z,YES
BKG300146,E104842,AUDITORIUM,2025-09-22T23:42:00Z,2025-09-23T02:21:00Z,YES
BKG300147,E105319,LAB_305,2025-09-01T11:39:00Z,2025-09-01T14:12:00Z,YES
BKG300148,E106751,AUDITORIUM,2025-09-25T11:25:00Z,2025-09-25T14:24:00Z,YES
BKG300149,E102329,ROOM_A1,2025-09-11T12:12:00Z,2025-09-11T14:24:00Z,NO
BKG300150,E105295,ROOM_A2,2025-09-18T11:36:00Z,2025-09-18T13:18:00Z,YES
BKG300151,E102295,AUDITORIUM,2025-09-03T15:21:00Z,2025-09-03T17:43:00Z,YES
BKG300152,E106094,LAB_102,2025-09-07T17:15:00Z,2025-09-07T20:10:00Z,YES
BKG300153,E106331,AUDITORIUM,2025-09-24T08:46:00Z,2025-09-24T11:13:00Z,YES
BKG300154,E100748,ROOM_A1,2025-09-07T21:59:00Z,2025-09-07T22:35:00Z,NO
BKG300155,E101996,LAB_305,2025-09-14T10:09:00Z,2025-09-14T11:57:00Z,YES
BKG300156,E106324,LAB_102,2025-09-24T13:47:00Z,2025-09-24T15:14:00Z,YES
BKG300157,E102193,ROOM_A2,2025-09-10T19:59:00Z,2025-09-10T20:32:00Z,YES
BKG300158,E105619,AUDITORIUM,2025-09-13T11:16:00Z,2025-09-13T13:40:00Z,NO
BKG300159,E100882,SEM_01,2025-08-31T07:23:00Z,2025-08-31T08:46:00Z,YES
BKG300160,E104108,AUDITORIUM,2025-08-31T09:57:00Z,2025-08-31T11:06:00Z,YES
BKG300161,E102577,LAB_101,2025-09-07T12:16:00Z,2025-09-07T13:40:00Z,NO
BKG300162,E105282,LAB_305,2025-09-19T20:22:00Z,2025-09-19T20:53:00Z,YES
BKG300163,E103026,ROOM_A1,2025-09-22T05:10:00Z,2025-09-22T06:20:00Z,YES
BKG300164,E101568,AUDITORIUM,2025-09-03T07:18:00Z,2025-09-03T09:05:00Z,YES
BKG300165,E105765,AUDITORIUM,2025-08-28T22:13:00Z,2025-08-28T23:13:00Z,NO
BKG300166,E100216,ROOM_A2,2025-09-08T16:40:00Z,2025-09-08T19:39:00Z,NO
BKG300167,E101610,ROOM_A2,2025-08-28T19:18:00Z,2025-08-28T22:17:00Z,YES
BKG300168,E104611,SEM_01,2025-09-16T00:21:00Z,2025-09-16T02:30:00Z,YES
BKG300169,E105675,SEM_01,2025-08-27T21:15:00Z,2025-08-27T23:26:00Z,YES
BKG300170,E104492,ROOM_A1,2025-09-12T08:09:00Z,2025-09-12T09:18:00Z,YES
BKG300171,E105684,ROOM_A1,2025-09-20T23:40:00Z,2025-09-21T00:14:00Z,YES
BKG300172,E104727,ROOM_A2,2025-09-07T19:20:00Z,2025-09-07T21:15:00Z,YES
BKG300173,E101468,LAB_101,2025-09-23T15:14:00Z,2025-09-23T17:28:00Z,YES
BKG300174,E103159,LAB_101,2025-09-04T09:27:00Z,2025-09-04T10:43:00Z,NO
BKG300175,E101343,LAB_305,2025-09-21T19:37:00Z,2025-09-21T21:19:00Z,YES
BKG300176,E105326,ROOM_A2,2025-08-28T22:21:00Z,2025-08-29T00:04:00Z,YES
BKG300177,E102771,ROOM_A1,2025-09-08T08:36:00Z,2025-09-08T11:12:00Z,YES
BKG300178,E101748,ROOM_A1,2025-09-25T21:16:00Z,2025-09-26T00:04:00Z,YES
BKG300179,E102044,LAB_101,2025-09-02T03:45:00Z,2025-09-02T05:06:00Z,NO
BKG300180,E101649,LAB_102,2025-09-13T20:51:00Z,2025-09-13T22:24:00Z,NO
BKG300181,E106429,SEM_01,2025-09-19T20:11:00Z,2025-09-19T21:25:00Z,YES
BKG300182,E103155,LAB_101,2025-09-24T16:47:00Z,2025-09-24T18:54:00Z,YES
BKG300183,E103982,LAB_102,2025-09-22T13:34:00Z,2025-09-22T14:53:00Z,YES
BKG300184,E106953,ROOM_A2,2025-09-19T10:17:00Z,2025-09-19T11:21:00Z,NO
BKG300185,E105410,LAB_101,2025-09-24T21:12:00Z,2025-09-24T21:57:00Z,YES
BKG300186,E105654,LAB_101,2025-09-05T12:48:00Z,2025-09-05T14:47:00Z,YES
BKG300187,E105325,LAB_102,2025-09-09T02:36:00Z,2025-09-09T04:36:00Z,YES
BKG300188,E105884,AUDITORIUM,2025-08-27T13:54:00Z,2025-08-27T14:54:00Z,YES
BKG300189,E101955,SEM_01,2025-09-11T19:36:00Z,2025-09-11T20:15:00Z,YES
BKG300190,E102520,SEM_01,2025-08-31T07:30:00Z,2025-08-31T09:18:00Z,NO
BKG300191,E102313,ROOM_A2,2025-09-08T01:00:00Z,2025-09-08T02:35:00Z,YES
BKG300192,E105809,AUDITORIUM,2025-09-14T00:29:00Z,2025-09-14T03:14:00Z,YES
BKG300193,E105649,ROOM_A1,2025-09-07T19:16:00Z,2025-09-07T19:54:00Z,NO
BKG300194,E103872,LAB_102,2025-09-06T05:45:00Z,2025-09-06T06:57:00Z,YES
BKG300195,E104303,SEM_01,2025-08-28T17:00:00Z,2025-08-28T18:33:00Z,NO
BKG300196,E100728,LAB_102,2025-09-25T04:33:00Z,2025-09-25T06:17:00Z,YES
BKG300197,E102737,ROOM_A1,2025-08-28T23:42:00Z,2025-08-29T01:45:00Z,YES
BKG300198,E106866,SEM_01,2025-09-08T12:07:00Z,2025-09-08T13:47:00Z,YES
BKG300199,E101225,LAB_101,2025-09-06T21:23:00Z,2025-09-06T23:50:00Z,NO
BKG300200,E106885,LAB_305,2025-08-27T02:31:00Z,2025-08-27T03:06:00Z,YES
BKG300201,E100363,LAB_305,2025-08-27T12:49:00Z,2025-08-27T15:30:00Z,YES
BKG300202,E102268,LAB_102,2025-09-06T16:08:00Z,2025-09-06T18:09:00Z,YES
BKG300203,E101746,LAB_101,2025-09-11T01:11:00Z,2025-09-11T02:27:00Z,YES
BKG300204,E101587,SEM_01,2025-09-05T18:15:00Z,2025-09-05T20:58:00Z,YES
BKG300205,E101337,ROOM_A2,2025-08-30T23:35:00Z,2025-08-31T01:21:00Z,YES
BKG300206,E101723,ROOM_A2,2025-09-03T17:53:00Z,2025-09-03T20:15:00Z,YES
BKG300207,E100526,ROOM_A1,2025-09-07T17:01:00Z,2025-09-07T19:12:00Z,YES
BKG300208,E100259,ROOM_A1,2025-09-19T01:02:00Z,2025-09-19T01:51:00Z,YES
BKG300209,E100076,ROOM_A2,2025-09-14T14:34:00Z,2025-09-14T16:32:00Z,YES
BKG300210,E102121,ROOM_A2,2025-09-15T09:56:00Z,2025-09-15T11:56:00Z,NO
BKG300211,E103863,ROOM_A2,2025-09-13T14:13:00Z,2025-09-13T16:15:00Z,YES
BKG300212,E106531,AUDITORIUM,2025-09-17T23:21:00Z,2025-09-18T01:34:00Z,YES
BKG300213,E102649,ROOM_A1,2025-08-28T22:08:00Z,2025-08-29T01:03:00Z,YES
BKG300214,E106933,ROOM_A2,2025-09-01T13:02:00Z,2025-09-01T15:35:00Z,NO
BKG300215,E100043,AUDITORIUM,2025-09-25T16:07:00Z,2025-09-25T17:45:00Z,YES
BKG300216,E105670,ROOM_A1,2025-08-31T16:05:00Z,2025-08-31T18:11:00Z,NO
BKG300217,E105607,ROOM_A1,2025-09-15T21:17:00Z,2025-09-15T23:52:00Z,YES
BKG300218,E104292,ROOM_A2,2025-09-05T09:17:00Z,2025-09-05T10:44:00Z,YES
BKG300219,E100314,LAB_305,2025-09-05T19:49:00Z,2025-09-05T22:28:00Z,YES
BKG300220,E102150,LAB_102,2025-09-02T00:40:00Z,2025-09-02T02:01:00Z,YES
BKG300221,E105304,AUDITORIUM,2025-08-31T14:42:00Z,2025-08-31T16:38:00Z,YES
BKG300222,E103884,ROOM_A1,2025-09-11T03:30:00Z,2025-09-11T04:47:00Z,YES
BKG300223,E106697,LAB_305,2025-09-11T04:25:00Z,2025-09-11T05:26:00Z,YES
BKG300224,E104105,LAB_305,2025-08-27T09:13:00Z,2025-08-27T11:59:00Z,YES
BKG300225,E101364,AUDITORIUM,2025-08-28T12:12:00Z,2025-08-28T12:54:00Z,YES
BKG300226,E103974,ROOM_A1,2025-09-13T23:55:00Z,2025-09-14T00:38:00Z,YES
BKG300227,E101139,ROOM_A2,2025-09-08T11:38:00Z,2025-09-08T14:26:00Z,NO
BKG300228,E106132,LAB_102,2025-08-28T13:54:00Z,2025-08-28T16:21:00Z,YES
BKG300229,E104456,ROOM_A1,2025-09-10T23:51:00Z,2025-09-11T01:56:00Z,YES
BKG300230,E104232,LAB_101,2025-09-09T06:19:00Z,2025-09-09T07:25:00Z,YES
BKG300231,E106883,ROOM_A2,2025-09-17T14:19:00Z,2025-09-17T16:15:00Z,YES
BKG300232,E100868,LAB_305,2025-09-11T19:05:00Z,2025-09-11T22:00:00Z,YES
BKG300233,E100030,ROOM_A2,2025-08-27T23:05:00Z,2025-08-28T00:24:00Z,YES
BKG300234,E103848,LAB_101,2025-09-19T11:05:00Z,2025-09-19T12:35:00Z,YES
BKG300235,E104372,LAB_102,2025-09-18T00:32:00Z,2025-09-18T01:44:00Z,YES
BKG300236,E100367,LAB_101,2025-09-10T18:51:00Z,2025-09-10T19:30:00Z,YES
BKG300237,E105931,ROOM_A1,2025-08-31T12:12:00Z,2025-08-31T13:30:00Z,YES
BKG300238,E105204,ROOM_A2,2025-09-20T21:27:00Z,2025-09-20T23:54:00Z,YES
BKG300239,E105632,ROOM_A2,2025-09-23T22:52:00Z,2025-09-24T00:49:00Z,YES
BKG300240,E102335,LAB_305,2025-09-25T23:31:00Z,2025-09-26T02:29:00Z,YES
BKG300241,E101965,ROOM_A1,2025-09-16T08:52:00Z,2025-09-16T10:28:00Z,NO
BKG300242,E102060,ROOM_A2,2025-08-31T14:56:00Z,2025-08-31T17:35:00Z,YES
BKG300243,E104857,LAB_102,2025-09-04T07:31:00Z,2025-09-04T08:28:00Z,YES
BKG300244,E104638,LAB_102,2025-08-31T00:32:00Z,2025-08-31T03:12:00Z,YES
BKG300245,E106044,AUDITORIUM,2025-09-18T23:43:00Z,2025-09-19T01:38:00Z,NO
BKG300246,E103932,LAB_305,2025-08-27T22:46:00Z,2025-08-28T00:00:00Z,YES
BKG300247,E100422,ROOM_A1,2025-09-17T22:55:00Z,2025-09-18T00:32:00Z,YES
BKG300248,E103214,ROOM_A1,2025-09-17T02:38:00Z,2025-09-17T03:16:00Z,YES
BKG300249,E101939,ROOM_A1,2025-09-21T05:43:00Z,2025-09-21T08:26:00Z,YES
BKG300250,E101859,ROOM_A2,2025-09-20T10:19:00Z,2025-09-20T11:00:00Z,YES
BKG300251,E105855,ROOM_A2,2025-09-01T22:36:00Z,2025-09-02T00:44:00Z,YES
BKG300252,E103753,LAB_101,2025-09-10T18:59:00Z,2025-09-10T21:15:00Z,YES
BKG300253,E103745,LAB_102,2025-09-01T05:32:00Z,2025-09-01T06:51:00Z,NO
BKG300254,E100297,LAB_102,2025-09-13T04:43:00Z,2025-09-13T05:53:00Z,YES
BKG300255,E103055,LAB_101,2025-09-15T02:57:00Z,2025-09-15T05:26:00Z,NO
BKG300256,E106560,SEM_01,2025-09-17T18:58:00Z,2025-09-17T21:00:00Z,YES
BKG300257,E103465,AUDITORIUM,2025-09-10T07:00:00Z,2025-09-10T08:04:00Z,YES
BKG300258,E106961,ROOM_A2,2025-09-08T18:56:00Z,2025-09-08T21:26:00Z,NO
BKG300259,E105041,ROOM_A2,2025-08-28T02:41:00Z,2025-08-28T03:55:00Z,YES
BKG300260,E100702,LAB_102,2025-08-28T05:23:00Z,2025-08-28T08:14:00Z,YES
BKG300261,E103270,LAB_101,2025-09-24T18:34:00Z,2025-09-24T19:24:00Z,NO
BKG300262,E106478,SEM_01,2025-09-24T23:36:00Z,2025-09-25T01:24:00Z,NO
BKG300263,E106493,ROOM_A2,2025-09-13T12:05:00Z,2025-09-13T13:06:00Z,YES
BKG300264,E101342,AUDITORIUM,2025-09-15T10:54:00Z,2025-09-15T13:54:00Z,YES
BKG300265,E100429,LAB_101,2025-09-08T13:11:00Z,2025-09-08T15:07:00Z,YES
BKG300266,E106935,LAB_101,2025-09-02T21:56:00Z,2025-09-03T00:50:00Z,YES
BKG300267,E101625,AUDITORIUM,2025-09-06T20:47:00Z,2025-09-06T23:36:00Z,NO
BKG300268,E103690,LAB_101,2025-09-05T06:29:00Z,2025-09-05T08:10:00Z,YES
BKG300269,E101702,LAB_305,2025-09-20T07:32:00Z,2025-09-20T08:32:00Z,NO
BKG300270,E104832,LAB_305,2025-09-15T14:07:00Z,2025-09-15T15:26:00Z,YES
BKG300271,E106790,ROOM_A1,2025-09-21T23:58:00Z,2025-09-22T01:05:00Z,NO
BKG300272,E103139,ROOM_A2,2025-09-25T23:53:00Z,2025-09-26T01:29:00Z,YES
BKG300273,E100036,LAB_102,2025-08-29T22:08:00Z,2025-08-29T23:16:00Z,YES
BKG300274,E105784,LAB_102,2025-09-09T00:52:00Z,2025-09-09T03:30:00Z,YES
BKG300275,E102869,ROOM_A1,2025-09-09T07:49:00Z,2025-09-09T08:42:00Z,YES
BKG300276,E100175,ROOM_A1,2025-09-19T15:03:00Z,2025-09-19T16:41:00Z,NO
BKG300277,E106850,ROOM_A1,2025-09-14T03:38:00Z,2025-09-14T05:24:00Z,YES
