note_id,entity_id,category,text,timestamp
N400065,E105543,feedback,Wi-Fi not working in hostel block.,2025-09-11T10:48:35Z
N400066,E102124,rsvp,Wi-Fi not working in hostel block.,2025-09-10T21:06:52Z
N400067,E100467,rsvp,Broken chair in seminar room.,2025-09-07T12:20:51Z
N400068,E102623,rsvp,Wi-Fi not working in hostel block.,2025-09-01T12:34:35Z
N400069,E103260,helpdesk,Requesting lab access.,2025-09-13T16:09:52Z
N400070,E105645,feedback,Confirmed attendance for robotics workshop.,2025-09-22T01:41:43Z
N400071,E100822,rsvp,Confirmed attendance for robotics workshop.,2025-09-22T20:59:41Z
N400072,E100977,rsvp,Wi-Fi not working in hostel block.,2025-09-04T11:42:49Z
N400073,E100613,helpdesk,Confirmed attendance for robotics workshop.,2025-08-31T17:26:46Z
N400074,E106276,maintenance,Wi-Fi not working in hostel block.,2025-09-23T05:40:11Z
N400075,E104104,incident,Broken chair in seminar room.,2025-09-08T18:59:50Z
N400076,E104414,rsvp,Requesting lab access.,2025-09-21T04:43:18Z
N400077,E102934,helpdesk,Broken chair in seminar room.,2025-09-18T02:59:20Z
N400078,E101885,feedback,Requesting lab access.,2025-09-09T20:09:53Z
N400079,E104355,rsvp,Wi-Fi not working in hostel block.,2025-09-07T17:46:11Z
N400080,E102235,helpdesk,Requesting lab access.,2025-09-17T09:22:07Z
N400081,E102294,incident,CCTV near library needs check.,2025-09-22T03:26:07Z
N400082,E106062,rsvp,Requesting lab access.,2025-08-27T03:51:49Z
N400083,E106281,helpdesk,Confirmed attendance for robotics workshop.,2025-09-08T21:07:50Z
N400084,E105851,maintenance,Wi-Fi not working in hostel block.,2025-09-07T23:04:05Z
N400085,E101952,rsvp,Requesting lab access.,2025-09-21T13:45:14Z
N400086,E105140,incident,Broken chair in seminar room.,2025-08-28T04:51:55Z
N400087,E102905,helpdesk,Requesting lab access.,2025-09-18T10:58:53Z
N400088,E100431,incident,Confirmed attendance for robotics workshop.,2025-09-07T13:40:23Z
N400089,E102588,rsvp,Confirmed attendance for robotics workshop.,2025-09-11T04:28:36Z
N400090,E101196,incident,Requesting lab access.,2025-09-25T11:43:33Z
N400091,E100462,rsvp,Confirmed attendance for robotics workshop.,2025-09-20T11:21:41Z
N400092,E103486,maintenance,Confirmed attendance for robotics workshop.,2025-09-01T18:43:01Z
N400093,E104486,incident,CCTV near library needs check.,2025-09-13T18:22:09Z
N400094,E103362,feedback,Confirmed attendance for robotics workshop.,2025-09-13T02:05:44Z
N400095,E104879,maintenance,CCTV near library needs check.,2025-09-11T13:20:04Z
N400096,E106341,feedback,Broken chair in seminar room.,2025-09-21T04:43:45Z
N400097,E101027,maintenance,Confirmed attendance for robotics workshop.,2025-09-10T11:08:01Z
N400098,E101002,helpdesk,Wi-Fi not working in hostel block.,2025-09-02T22:17:42Z
N400099,E102130,incident,CCTV near library needs check.,2025-09-17T02:31:02Z
N400100,E102204,rsvp,Requesting lab access.,2025-09-02T22:22:10Z
N400101,E106606,maintenance,Wi-Fi not working in hostel block.,2025-09-05T01:28:04Z
N400102,E101085,helpdesk,Wi-Fi not working in hostel block.,2025-09-21T08:28:43Z
N400103,E102229,maintenance,Confirmed attendance for robotics workshop.,2025-09-03T01:06:54Z
N400104,E102269,feedback,Wi-Fi not working in hostel block.,2025-09-15T11:06:53Z
N400105,E100589,rsvp,CCTV near library needs check.,2025-09-17T17:07:30Z
N400106,E106861,maintenance,CCTV near library needs check.,2025-09-19T03:55:39Z
N400107,E100600,maintenance,Requesting lab access.,2025-09-05T08:09:12Z
N400108,E105460,maintenance,Wi-Fi not working in hostel block.,2025-09-01T14:21:08Z
N400109,E100475,helpdesk,Confirmed attendance for robotics workshop.,2025-09-02T11:36:08Z
N400110,E104661,rsvp,Confirmed attendance for robotics workshop.,2025-08-28T04:23:56Z
N400111,E100372,maintenance,Requesting lab access.,2025-09-19T19:26:58Z
N400112,E106727,rsvp,Confirmed attendance for robotics workshop.,2025-09-02T19:16:39Z
N400113,E106801,incident,Wi-Fi not working in hostel block.,2025-09-11T09:04:49Z
N400114,E104719,helpdesk,Wi-Fi not working in hostel block.,2025-09-13T06:36:02Z
N400115,E106233,maintenance,Wi-Fi not working in hostel block.,2025-09-19T13:09:21Z
N400116,E106970,feedback,Requesting lab access.,2025-09-16T15:25:21Z
N400117,E102402,maintenance,Wi-Fi not working in hostel block.,2025-09-18T00:26:41Z
N400118,E103984,incident,CCTV near library needs check.,2025-09-23T23:57:01Z
N400119,E101791,maintenance,Broken chair in seminar room.,2025-09-18T10:41:04Z
N400120,E105908,helpdesk,Requesting lab access.,2025-09-01T06:19:29Z
N400121,E103119,helpdesk,Broken chair in seminar room.,2025-09-23T23:13:44Z
N400122,E106279,helpdesk,Wi-Fi not working in hostel block.,2025-09-19T01:55:36Z
N400123,E105846,rsvp,Broken chair in seminar room.,2025-08-30T01:11:37Z
N400124,E106174,incident,Broken chair in seminar room.,2025-09-12T10:22:19Z
N400125,E105805,incident,CCTV near library needs check.,2025-09-10T15:41:34Z
N400126,E101955,rsvp,Broken chair in seminar room.,2025-09-20T16:45:11Z
N400127,E101313,maintenance,Wi-Fi not working in hostel block.,2025-09-04T01:04:38Z
N400128,E103076,incident,Requesting lab access.,2025-09-06T17:30:23Z
N400129,E100939,maintenance,CCTV near library needs check.,2025-09-10T03:06:58Z
N400130,E106961,maintenance,Broken chair in seminar room.,2025-08-30T15:52:52Z
N400131,E100992,maintenance,Requesting lab access.,2025-09-07T05:38:35Z
N400132,E105059,helpdesk,Requesting lab access.,2025-09-10T02:12:01Z
N400133,E104069,helpdesk,Wi-Fi not working in hostel block.,2025-09-25T17:14:52Z
N400134,E100737,feedback,CCTV near library needs check.,2025-09-12T03:01:32Z
N400135,E104805,incident,Confirmed attendance for robotics workshop.,2025-08-28T04:22:35Z
N400136,E100137,maintenance,Wi-Fi not working in hostel block.,2025-09-23T01:39:39Z
N400137,E105583,feedback,Confirmed attendance for robotics workshop.,2025-09-07T23:22:27Z
N400138,E102757,maintenance,CCTV near library needs check.,2025-09-07T04:22:02Z
N400139,E106034,feedback,Confirmed attendance for robotics workshop.,2025-09-05T00:56:00Z
N400140,E103405,rsvp,Confirmed attendance for robotics workshop.,2025-09-11T16:35:29Z
N400141,E104748,rsvp,Requesting lab access.,2025-09-03T11:46:25Z
N400142,E105781,rsvp,Broken chair in seminar room.,2025-09-25T07:16:54Z
N400143,E101731,maintenance,Broken chair in seminar room.,2025-09-22T06:15:17Z
N400144,E105511,rsvp,CCTV near library needs check.,2025-09-14T17:59:51Z
N400145,E106319,maintenance,Broken chair in seminar room.,2025-09-21T08:25:57Z
N400146,E106799,maintenance,Confirmed attendance for robotics workshop.,2025-09-16T16:17:06Z
N400147,E102962,feedback,Broken chair in seminar room.,2025-09-08T12:45:01Z
N400148,E102784,incident,Confirmed attendance for robotics workshop.,2025-09-04T05:28:06Z
N400149,E100268,helpdesk,Wi-Fi not working in hostel block.,2025-09-07T16:08:14Z
N400150,E101037,incident,Wi-Fi not working in hostel block.,2025-09-05T18:17:21Z
N400151,E100738,rsvp,Broken chair in seminar room.,2025-09-17T18:50:30Z
N400152,E105202,maintenance,Wi-Fi not working in hostel block.,2025-08-28T11:22:18Z
N400153,E106042,helpdesk,Requesting lab access.,2025-08-30T22:34:23Z
N400154,E105402,incident,Confirmed attendance for robotics workshop.,2025-09-04T07:50:10Z
N400155,E106453,incident,Wi-Fi not working in hostel block.,2025-09-19T17:10:20Z
N400156,E103988,maintenance,Requesting lab access.,2025-09-22T13:42:06Z
N400157,E104660,maintenance,Wi-Fi not working in hostel block.,2025-08-31T17:00:01Z
N400158,E103056,rsvp,Broken chair in seminar room.,2025-08-31T18:04:32Z
N400159,E100726,incident,Wi-Fi not working in hostel block.,2025-09-13T14:53:29Z
N400160,E106438,feedback,Confirmed attendance for robotics workshop.,2025-09-15T13:13:34Z
N400161,E102429,feedback,Confirmed attendance for robotics workshop.,2025-09-07T17:16:49Z
N400162,E101158,feedback,Requesting lab access.,2025-09-21T00:12:54Z
N400163,E105533,incident,CCTV near library needs check.,2025-09-04T09:59:12Z
N400164,E102863,helpdesk,CCTV near library needs check.,2025-08-30T12:17:31Z
N400165,E106398,feedback,Wi-Fi not working in hostel block.,2025-09-14T20:31:02Z
N400166,E105491,helpdesk,Wi-Fi not working in hostel block.,2025-09-12T11:28:27Z
N400167,E103536,maintenance,Wi-Fi not working in hostel block.,2025-09-19T02:16:25Z
N400168,E103420,feedback,CCTV near library needs check.,2025-09-02T10:55:47Z
N400169,E101463,maintenance,CCTV near library needs check.,2025-08-28T22:52:42Z
N400170,E101635,feedback,CCTV near library needs check.,2025-09-17T01:13:40Z
N400171,E106733,helpdesk,Requesting lab access.,2025-09-20T23:25:29Z
N400172,E100029,rsvp,Requesting lab access.,2025-09-04T15:23:37Z
N400173,E101832,feedback,Requesting lab access.,2025-09-12T05:25:20Z
N400174,E105571,feedback,Confirmed attendance for robotics workshop.,2025-08-31T02:24:27Z
N400175,E100348,maintenance,Confirmed attendance for robotics workshop.,2025-08-27T23:59:28Z
N400176,E106406,maintenance,CCTV near library needs check.,2025-09-06T09:11:41Z
N400177,E103721,maintenance,Broken chair in seminar room.,2025-09-19T00:04:46Z
N400178,E104135,maintenance,CCTV near library needs check.,2025-09-16T12:49:53Z
N400179,E100015,incident,Broken chair in seminar room.,2025-09-08T12:23:22Z
N400180,E101526,rsvp,CCTV near library needs check.,2025-09-23T10:31:07Z
N400181,E106342,incident,CCTV near library needs check.,2025-09-10T21:32:26Z
N400182,E105012,maintenance,Broken chair in seminar room.,2025-09-24T08:13:51Z
N400183,E101492,incident,CCTV near library needs check.,2025-08-27T04:26:18Z
N400184,E101002,helpdesk,Broken chair in seminar room.,2025-08-30T17:10:10Z
N400185,E106496,maintenance,Wi-Fi not working in hostel block.,2025-09-01T04:20:15Z
N400186,E101697,feedback,Requesting lab access.,2025-09-18T01:09:36Z
N400187,E102571,incident,Wi-Fi not working in hostel block.,2025-08-28T14:57:09Z
N400188,E103308,helpdesk,Wi-Fi not working in hostel block.,2025-09-19T14:04:05Z
N400189,E105533,helpdesk,Confirmed attendance for robotics workshop.,2025-09-04T22:04:43Z
N400190,E105449,maintenance,Requesting lab access.,2025-09-07T04:15:31Z
N400191,E104467,rsvp,Requesting lab access.,2025-09-06T00:45:12Z
N400192,E101268,maintenance,Requesting lab access.,2025-09-15T00:01:34Z
N400193,E103413,helpdesk,Confirmed attendance for robotics workshop.,2025-09-01T06:44:58Z
N400194,E104954,incident,Wi-Fi not working in hostel block.,2025-09-23T18:32:16Z
N400195,E106549,incident,CCTV near library needs check.,2025-09-21T07:45:04Z
N400196,E101374,helpdesk,Broken chair in seminar room.,2025-09-01T13:10:00Z
N400197,E104126,incident,Broken chair in seminar room.,2025-09-24T19:50:55Z
N400198,E102884,feedback,CCTV near library needs check.,2025-09-07T11:13:33Z
N400199,E103060,helpdesk,Confirmed attendance for robotics workshop.,2025-08-27T05:51:40Z
N400200,E103412,rsvp,Confirmed attendance for robotics workshop.,2025-09-16T07:09:44Z
N400201,E101920,incident,CCTV near library needs check.,2025-09-11T12:53:26Z
N400202,E101545,incident,Broken chair in seminar room.,2025-09-23T04:50:28Z
N400203,E104180,helpdesk,Confirmed attendance for robotics workshop.,2025-09-08T08:52:17Z
N400204,E104793,helpdesk,Requesting lab access.,2025-09-15T17:39:36Z
N400205,E100598,helpdesk,Requesting lab access.,2025-09-04T13:42:37Z
N400206,E100195,helpdesk,Broken chair in seminar room.,2025-08-29T05:54:42Z
N400207,E105662,helpdesk,CCTV near library needs check.,2025-08-27T23:28:49Z
N400208,E102477,maintenance,Confirmed attendance for robotics workshop.,2025-09-12T14:14:12Z
N400209,E105679,feedback,Wi-Fi not working in hostel block.,2025-09-04T02:47:51Z
N400210,E105603,incident,Confirmed attendance for robotics workshop.,2025-08-28T21:08:24Z
N400211,E100238,maintenance,Broken chair in seminar room.,2025-08-30T11:07:47Z
N400212,E102091,incident,Wi-Fi not working in hostel block.,2025-09-08T02:05:01Z
N400213,E103062,rsvp,Wi-Fi not working in hostel block.,2025-09-23T15:09:51Z
N400214,E100415,helpdesk,Confirmed attendance for robotics workshop.,2025-09-18T22:50:29Z
N400215,E100826,incident,Broken chair in seminar room.,2025-09-23T21:09:59Z
N400216,E105451,rsvp,Broken chair in seminar room.,2025-09-04T20:13:55Z
N400217,E105869,incident,Confirmed attendance for robotics workshop.,2025-09-06T01:54:15Z
N400218,E102956,helpdesk,Broken chair in seminar room.,2025-09-02T20:44:13Z
N400219,E103111,incident,Requesting lab access.,2025-09-21T08:05:07Z
N400220,E101782,feedback,Broken chair in seminar room.,2025-09-08T19:32:53Z
N400221,E105870,feedback,Requesting lab access.,2025-09-08T00:49:26Z
N400222,E103442,feedback,Wi-Fi not working in hostel block.,2025-09-23T20:39:40Z
N400223,E106631,helpdesk,Broken chair in seminar room.,2025-09-14T08:03:28Z
N400224,E103179,maintenance,CCTV near library needs check.,2025-09-24T07:34:43Z
N400225,E101862,helpdesk,CCTV near library needs check.,2025-09-05T01:09:33Z
N400226,E104305,helpdesk,Broken chair in seminar room.,2025-09-08T16:02:11Z
N400227,E103474,incident,Wi-Fi not working in hostel block.,2025-09-14T11:35:18Z
N400228,E100648,feedback,Requesting lab access.,2025-08-31T19:55:39Z
N400229,E101167,helpdesk,Requesting lab access.,2025-09-17T12:31:54Z
N400230,E102325,helpdesk,Confirmed attendance for robotics workshop.,2025-09-21T17:48:32Z
N400231,E101991,helpdesk,Broken chair in seminar room.,2025-09-24T07:27:39Z
N400232,E106918,rsvp,Broken chair in seminar room.,2025-09-13T22:20:52Z
N400233,E106020,feedback,CCTV near library needs check.,2025-08-29T02:02:14Z
N400234,E106155,helpdesk,Wi-Fi not working in hostel block.,2025-09-24T04:50:50Z
N400235,E105717,maintenance,Requesting lab access.,2025-08-28T10:01:14Z
N400236,E105234,maintenance,Confirmed attendance for robotics workshop.,2025-08-29T18:28:56Z
N400237,E101526,helpdesk,Wi-Fi not working in hostel block.,2025-09-12T20:50:36Z
N400238,E105607,helpdesk,Broken chair in seminar room.,2025-09-11T12:37:53Z
N400239,E103035,maintenance,CCTV near library needs check.,2025-09-21T13:24:50Z
N400240,E104377,rsvp,Wi-Fi not working in hostel block.,2025-09-09T11:19:58Z
N400241,E101016,rsvp,Requesting lab access.,2025-09-14T19:20:17Z
N400242,E106572,incident,Broken chair in seminar room.,2025-09-02T03:55:25Z
N400243,E100504,helpdesk,Broken chair in seminar room.,2025-08-31T02:48:40Z
N400244,E101223,maintenance,Confirmed attendance for robotics workshop.,2025-08-31T08:49:53Z
N400245,E102940,incident,CCTV near library needs check.,2025-08-30T11:14:01Z
N400246,E103114,feedback,CCTV near library needs check.,2025-09-21T09:52:12Z
N400247,E100656,maintenance,Requesting lab access.,2025-09-03T11:49:52Z
N400248,E105900,helpdesk,Confirmed attendance for robotics workshop.,2025-09-12T06:24:23Z
N400249,E101030,feedback,Requesting lab access.,2025-08-30T16:26:45Z
N400250,E101951,incident,Broken chair in seminar room.,2025-08-31T04:07:08Z
N400251,E100909,rsvp,CCTV near library needs check.,2025-09-08T19:01:46Z
N400252,E106699,rsvp,Broken chair in seminar room.,2025-09-05T13:42:18Z
N400253,E105447,maintenance,Wi-Fi not working in hostel block.,2025-09-18T03:30:12Z
N400254,E105527,incident,Wi-Fi not working in hostel block.,2025-09-20T16:47:58Z
N400255,E102566,rsvp,Broken chair in seminar room.,2025-09-20T05:08:06Z
N400256,E104458,maintenance,Confirmed attendance for robotics workshop.,2025-09-08T13:05:50Z
N400257,E101171,maintenance,Confirmed attendance for robotics workshop.,2025-08-28T12:04:45Z
N400258,E101847,feedback,Wi-Fi not working in hostel block.,2025-09-01T13:20:59Z
N400259,E106726,rsvp,Broken chair in seminar room.,2025-08-29T15:53:22Z
N400260,E102848,incident,Broken chair in seminar room.,2025-09-25T21:14:04Z
N400261,E106872,incident,Wi-Fi not working in hostel block.,2025-09-01T04:54:00Z
N400262,E101420,rsvp,CCTV near library needs check.,2025-08-30T06:54:34Z
N400263,E100073,maintenance,Wi-Fi not working in hostel block.,2025-09-15T15:27:34Z
N400264,E106400,maintenance,Broken chair in seminar room.,2025-09-21T09:27:58Z
N400265,E100296,rsvp,Wi-Fi not working in hostel block.,2025-09-08T10:36:15Z
N400266,E105849,incident,CCTV near library needs check.,2025-09-11T17:47:55Z
N400267,E103515,incident,Requesting lab access.,2025-09-20T06:24:21Z
N400268,E105036,incident,Requesting lab access.,2025-08-31T01:10:18Z
N400269,E102700,rsvp,Requesting lab access.,2025-09-12T05:00:53Z
N400270,E104717,helpdesk,Wi-Fi not working in hostel block.,2025-08-29T07:33:39Z
N400271,E104393,feedback,Wi-Fi not working in hostel block.,2025-09-23T13:49:09Z
N400272,E101508,feedback,CCTV near library needs check.,2025-09-04T00:33:10Z
N400273,E104529,rsvp,Broken chair in seminar room.,2025-08-27T11:40:59Z
N400274,E101426,incident,Wi-Fi not working in hostel block.,2025-09-12T17:48:38Z
N400275,E102154,maintenance,CCTV near library needs check.,2025-09-18T00:50:24Z
N400276,E102590,feedback,Wi-Fi not working in hostel block.,2025-09-16T15:22:33Z
N400277,E105449,feedback,Wi-Fi not working in hostel block.,2025-09-18T18:51:51Z
N400278,E103593,feedback,Wi-Fi not working in hostel block.,2025-09-10T10:35:59Z
N400279,E105844,maintenance,Wi-Fi not working in hostel block.,2025-09-09T17:15:47Z
N400280,E101083,helpdesk,Requesting lab access.,2025-09-25T13:00:31Z
N400281,E104749,helpdesk,Confirmed attendance for robotics workshop.,2025-09-19T06:11:24Z
N400282,E100490,helpdesk,Wi-Fi not working in hostel block.,2025-09-01T01:11:00Z
N400283,E100021,rsvp,CCTV near library needs check.,2025-09-06T00:13:04Z
N400284,E104327,feedback,Broken chair in seminar room.,2025-09-09T16:09:38Z
N400285,E102006,rsvp,Broken chair in seminar room.,2025-08-27T14:11:45Z
N400286,E101359,maintenance,Requesting lab access.,2025-09-20T05:37:58Z
N400287,E104939,feedback,CCTV near library needs check.,2025-08-30T23:15:20Z
N400288,E104426,incident,CCTV near library needs check.,2025-09-14T02:42:30Z
N400289,E103674,rsvp,Broken chair in seminar room.,2025-09-07T18:56:11Z
N400290,E104178,helpdesk,CCTV near library needs check.,2025-09-01T18:53:35Z
N400291,E103657,rsvp,Confirmed attendance for robotics workshop.,2025-09-19T12:08:55Z
N400292,E101611,feedback,Confirmed attendance for robotics workshop.,2025-08-29T20:33:56Z
N400293,E106183,incident,Broken chair in seminar room.,2025-08-29T05:05:27Z
N400294,E100215,feedback,CCTV near library needs check.,2025-09-17T19:12:15Z
N400295,E103075,feedback,Broken chair in seminar room.,2025-09-17T18:50:36Z
N400296,E102258,feedback,Broken chair in seminar room.,2025-08-29T23:27:11Z
N400297,E100348,maintenance,CCTV near library needs check.,2025-09-15T03:56:56Z
N400298,E101274,helpdesk,Confirmed attendance for robotics workshop.,2025-09-19T04:42:17Z
N400299,E100196,rsvp,Broken chair in seminar room.,2025-09-19T11:37:20Z
N400300,E104331,feedback,CCTV near library needs check.,2025-09-23T00:12:01Z
N400301,E105736,incident,Wi-Fi not working in hostel block.,2025-09-02T20:16:54Z
N400302,E105994,rsvp,Broken chair in seminar room.,2025-09-04T19:12:28Z
N400303,E104609,feedback,Requesting lab access.,2025-08-31T19:12:38Z
N400304,E104100,feedback,Requesting lab access.,2025-08-31T15:39:41Z
N400305,E103132,feedback,Requesting lab access.,2025-08-31T12:38:55Z
N400306,E102685,incident,Broken chair in seminar room.,2025-09-06T22:48:19Z
N400307,E103025,maintenance,Confirmed attendance for robotics workshop.,2025-09-21T09:44:58Z
N400308,E103931,feedback,CCTV near library needs check.,2025-09-05T02:10:33Z
N400309,E104448,maintenance,Wi-Fi not working in hostel block.,2025-08-31T22:05:49Z
N400310,E105171,maintenance,CCTV near library needs check.,2025-09-25T00:28:40Z
N400311,E103937,rsvp,Wi-Fi not working in hostel block.,2025-09-02T23:19:06Z
N400312,E101245,rsvp,CCTV near library needs check.,2025-09-04T04:15:26Z
N400313,E102836,maintenance,Wi-Fi not working in hostel block.,2025-09-04T09:57:38Z
N400314,E102473,rsvp,Requesting lab access.,2025-09-16T12:20:32Z
N400315,E106357,rsvp,Confirmed attendance for robotics workshop.,2025-09-19T11:13:42Z
N400316,E103823,maintenance,Broken chair in seminar room.,2025-09-01T18:25:53Z
N400317,E106776,rsvp,Confirmed attendance for robotics workshop.,2025-09-04T02:03:46Z
N400318,E103644,helpdesk,Broken chair in seminar room.,2025-08-28T05:13:06Z
N400319,E106806,maintenance,Wi-Fi not working in hostel block.,2025-08-28T22:32:38Z
N400320,E102193,rsvp,Requesting lab access.,2025-09-13T13:00:25Z
N400321,E101106,helpdesk,Wi-Fi not working in hostel block.,2025-09-06T15:53:22Z
N400322,E105883,maintenance,CCTV near library needs check.,2025-09-10T07:37:54Z
N400323,E100442,maintenance,CCTV near library needs check.,2025-09-25T05:14:32Z
N400324,E100177,maintenance,Requesting lab access.,2025-09-09T12:43:47Z
N400325,E105141,feedback,Requesting lab access.,2025-09-03T08:07:09Z
N400326,E103565,rsvp,Requesting lab access.,2025-09-16T10:47:52Z
N400327,E101202,incident,Wi-Fi not working in hostel block.,2025-09-16T21:23:26Z
N400328,E105398,feedback,Requesting lab access.,2025-08-27T16:12:58Z
N400329,E105918,helpdesk,Requesting lab access.,2025-09-03T14:20:37Z
N400330,E105530,maintenance,Confirmed attendance for robotics workshop.,2025-09-09T12:13:26Z
N400331,E101297,rsvp,Wi-Fi not working in hostel block.,2025-09-07T14:55:11Z
N400332,E105491,feedback,CCTV near library needs check.,2025-09-23T04:55:09Z
N400333,E102095,rsvp,Wi-Fi not working in hostel block.,2025-09-16T07:17:04Z
N400334,E103136,maintenance,Broken chair in seminar room.,2025-09-20T10:48:45Z
N400335,E104730,helpdesk,Wi-Fi not working in hostel block.,2025-09-13T08:08:13Z
N400336,E100869,maintenance,Confirmed attendance for robotics workshop.,2025-09-04T16:09:14Z
N400337,E101716,incident,Requesting lab access.,2025-09-07T10:19:52Z
N400338,E103081,feedback,Confirmed attendance for robotics workshop.,2025-09-24T05:58:03Z
N400339,E106595,maintenance,Requesting lab access.,2025-09-02T02:05:18Z
N400340,E104663,incident,Broken chair in seminar room.,2025-09-21T16:50:41Z
N400341,E100365,incident,Broken chair in seminar room.,2025-09-12T12:11:36Z
N400342,E104531,helpdesk,Requesting lab access.,2025-09-03T11:39:24Z
